
asctime	levelname	name	message
10:05:55	ERROR	CATGY	No category found for: STF : fooddrink,alcoholicdrinks,plumwine
10:07:04	ERROR	CATGY	No category found for: STF : fooddrink,alcoholicdrinks,wine_liqueur
10:08:21	ERROR	CATGY	No category found for: STF : fooddrink,alcoholicdrinks,plumwine
10:14:33	ERROR	CATGY	No category found for: FHP : 日用品・雑貨_家具
10:15:16	ERROR	CATGY	No category found for: FHP : 日用品・雑貨_その他
10:18:09	ERROR	CATGY	No category found for: FHP : 日用品・雑貨
10:18:09	ERROR	CATGY	No category found for: FHP : 工芸品・装飾品
10:18:09	ERROR	CATGY	No category found for: FHP : 保存・非常食_防災セット
10:18:11	ERROR	CATGY	No category found for: FHP : 日用品・雑貨_スポーツ・アウトドア
10:19:07	ERROR	CATGY	No category found for: STF : fooddrink,alcoholicdrinks,wine_liqueur
10:19:20	ERROR	CATGY	No category found for: FHP : 日用品・雑貨_寝具
10:19:24	ERROR	CATGY	No category found for: FPR : ふるチョ限定
10:21:49	ERROR	CATGY	No category found for: STF : fooddrink,alcoholicdrinks,wine_liqueur
10:21:52	ERROR	CATGY	No category found for: FHP : 日用品・雑貨_日用品
10:21:58	ERROR	CATGY	No category found for: STF : fooddrink,alcoholicdrinks,wine_liqueur
10:22:12	ERROR	CATGY	No category found for: FHP : 工芸品・装飾品_工芸品・民芸品
10:24:06	ERROR	CATGY	No category found for: FHP : 日用品・雑貨_スポーツ・アウトドア
10:24:43	ERROR	CATGY	No category found for: FPR : ふるさとプレミアムクラウドファンディング
10:24:43	ERROR	CATGY	No category found for: FPR : クラウドファンディング
10:28:32	ERROR	CATGY	No category found for: AUP : 仏具・神具_仏具
10:28:43	ERROR	CATGY	No category found for: AUP : 陶磁器・漆器・ガラス_ビードロ
10:33:33	ERROR	CATGY	No category found for: STF : fooddrink,alcoholicdrinks,plumwine
10:38:56	ERROR	CATGY	No category found for: FHP : 日用品・雑貨_家具
10:38:56	ERROR	CATGY	No category found for: FHP : 日用品・雑貨_その他
10:38:56	ERROR	CATGY	No category found for: FHP : 家電製品_その他家電
10:39:00	ERROR	CATGY	No category found for: FHP : 日用品・雑貨_キッチン用品
10:39:00	ERROR	CATGY	No category found for: FHP : 家電製品_キッチン家電
10:39:00	ERROR	CATGY	No category found for: FHP : 家電製品_その他家電
10:39:00	ERROR	CATGY	No category found for: FHP : 日用品・雑貨_家具
10:39:02	ERROR	CATGY	No category found for: STF : fooddrink,alcoholicdrinks,plumwine
10:39:03	ERROR	CATGY	No category found for: FHP : 日用品・雑貨_日用品
10:39:07	ERROR	CATGY	No category found for: FHP : 日用品・雑貨_寝具
10:39:07	ERROR	CATGY	No category found for: FHP : 工芸品・装飾品_その他
10:39:07	ERROR	CATGY	No category found for: FHP : 日用品・雑貨_その他
10:39:07	ERROR	CATGY	No category found for: FHP : 日用品・雑貨_スポーツ・アウトドア
10:39:07	ERROR	CATGY	No category found for: FHP : 日用品・雑貨
10:40:09	ERROR	CATGY	No category found for: FHP : お酒_焼酎_泡盛
10:41:39	ERROR	CATGY	No category found for: STF : fooddrink,alcoholicdrinks,wine_liqueur
10:42:34	ERROR	CATGY	No category found for: FHP : 日用品・雑貨_その他
10:50:24	ERROR	CATGY	No category found for: FHP : 日用品・雑貨_日用品
10:50:24	ERROR	CATGY	No category found for: FHP : 工芸品・装飾品_工芸品・民芸品
10:53:42	ERROR	CATGY	No category found for: FHP : 日用品・雑貨_日用品
10:54:15	ERROR	CATGY	No category found for: FHP : 工芸品・装飾品_工芸品・民芸品
10:55:06	ERROR	CATGY	No category found for: FHP : 日用品・雑貨_その他
10:57:04	ERROR	CATGY	No category found for: RKT : インナー・下着・ナイトウェア_メンズ_ナイトウェア・ルームウェア_バスローブ
11:01:45	ERROR	CATGY	No category found for: FPR : 庄内柿
11:03:26	ERROR	CATGY	No category found for: FHP : 日用品・雑貨_家具
11:04:21	ERROR	CATGY	No category found for: FPR : 舟形町
11:07:41	ERROR	CATGY	No category found for: FHP : 日用品・雑貨_衣類・履き物
11:07:49	ERROR	CATGY	No category found for: FHP : 日用品・雑貨_家具
11:21:58	ERROR	CATGY	No category found for: FHP : 日用品・雑貨_日用品
11:28:58	ERROR	CATGY	No category found for: FHP : 工芸品・装飾品_アクセサリー
11:30:52	ERROR	CATGY	No category found for: FHP : 日用品・雑貨_その他
11:31:08	ERROR	CATGY	No category found for: FHP : お酒_焼酎_泡盛
11:32:37	ERROR	CATGY	No category found for: FPR : 静岡県小山町
11:33:12	ERROR	CATGY	No category found for: FHP : 家電製品_その他家電
11:33:46	ERROR	CATGY	No category found for: STF : fooddrink,alcoholicdrinks,champagne
11:34:01	ERROR	CATGY	No category found for: RKT : パソコン・周辺機器_PCアクセサリー_USBグッズ_加湿器
11:34:09	ERROR	CATGY	No category found for: RKT : 家電_キッチン家電_食器洗い乾燥機_据置型食器洗い乾燥機
11:34:11	INFO	CATGY	Created summary: logs_summary/202111091134_assign_catgy.json
11:34:11	INFO	CATGY	END assign_catgy.py
11:34:11	INFO	NAYOSE	Doing Nayose for all cities.
11:34:11	INFO	NAYOSE	START nayose.py
11:34:11	INFO	NAYOSE	App started in /var/furusatohikaku/prj_his_furusato_scrape/src
11:34:11	INFO	NAYOSE	NAYOSE START
11:38:41	INFO	NAYOSE	012238	New t_mchan entries: 36
11:40:07	INFO	NAYOSE	152269	New t_mchan entries: 7
11:40:28	INFO	NAYOSE	221309	New t_mchan entries: 1
11:40:48	INFO	NAYOSE	212059	New t_mchan entries: 23
11:41:38	INFO	NAYOSE	412015	New t_mchan entries: 1
11:41:39	INFO	NAYOSE	272132	New t_mchan entries: 18
11:42:06	INFO	NAYOSE	402125	New t_mchan entries: 2
11:44:57	INFO	NAYOSE	414018	New t_mchan entries: 1
11:45:04	INFO	NAYOSE	392022	New t_mchan entries: 9
11:46:08	INFO	NAYOSE	423238	New t_mchan entries: 7
11:46:37	INFO	NAYOSE	303615	New t_mchan entries: 8
